Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,OrganizerId,RegistrationNumber,LocationOfOperations,BusinessName,Biography,PreferredEventSizes,HasResidentDJ,ResidentId,HasPartnershipsOrSponsors,PartnershipOrSponsorId,SoundEquipmentType,SoundEquipmentConsole,StageDimensions,HasStageVisuals,StageType,MaxCapacity,AmountOfStages,TechnicalEquipmentProvided,TradingHours
31,t,f,2025-04-09 11:08:25.694109+00,2025-04-09 11:08:25.694111+00,,44,Amsterdam,Amsterdam,Gigevate Archive,"Gigevate is the home of opportunity for electronic music.
Born from the real-world challenges faced by artists and organisers, Gigevate is a purpose-built platform that bridges the gap between talent and event creators, simplifying the booking process while empowering the entire ecosystem to grow.

Built specifically for the electronic music industry, Gigevate enables artists to showcase their profiles, receive direct booking requests, manage their event timelines, and build meaningful connections with promoters and organisers worldwide. For organisers, it offers a curated way to discover and book talent with ease, manage negotiations, and securely process payments through integrated escrow solutions.

Gigevate is not just another booking tool. It is a growing global movement that connects the heartbeat of electronic music culture: from underground artists to leading festival stages, from local community events to international showcases. Our platform exists to give artists more visibility and organisers more efficiency, creating a trusted and transparent space for collaboration.",400,f,,f,,,,,f,,0,0,,
38,t,f,2025-05-28 11:40:06.961454+00,2025-05-28 11:40:06.961455+00,,51,12,Amsterdam,ADE,"The ADE is the biggest international club festival in the world for the whole spectrum of electronic sub-genres with 300 special events and 2,000 DJ’s over five days in 75 clubs and venues around the city. The festival features the very biggest DJ and artist names on the planet, as well as a selection of the best upcoming talent making Amsterdam one of the best and most inspiring clubbing cities in the world. Each year, the ADE attracts 300,000 festival visitors, including 60,000 tourists.",1000,f,,t,"BumaStemra & Heineken
","Funktion-One EVO Series
d&b audiotechnik V-Series
L-Acoustics K2 System
(ADE venues typically use premium club-grade sound systems.)","Allen & Heath Xone:96
Pioneer DJM-V10 or DJM-900NXS2
Midas M32 (for live/hybrid setups)
A&H SQ-5 (for more complex routing needs)","6m (W) × 3m (D) × 1.2m (H) — standard club setup  8m × 4m × 1.5m — for main stages or live acts  3m × 2m riser — for smaller showcases, backrooms or panels",t,,2000,4,"- Funktion-One EVO 7 system  
- Pioneer DJM-V10 mixer  
- 3× CDJ-3000s with Pro Link  
- Allen & Heath Xone:96 + Technics 1210 available on request  
- Stage monitoring: 2× d&b M4s  
- Shure SM58, XLR + DI boxes  
- In-house technician available",Day Events: 14:00 – 22:00  Night Events: 23:00 – 05:00  Extended License: 23:00 – 07:00  Workshops/Conferences: 10:00 – 18:00
39,t,f,2025-05-29 15:20:22.885891+00,2025-05-29 15:20:22.885893+00,,52,222222,"Louwesweg 1 ,1066 EA",RADION,"RADION is a cultural hotspot in Amsterdam. Their current location, known as ACTA, used to be the academic centre of dentistry in the Dutch capital. In May 2015 RADION was granted a 24-hours permit, which allows the space to continue programming a diversity of cultural disciplines. This wider range of possibilities adds a new dimension to their immersive club nights.",400,f,,f,,,,,f,,0,0,,
40,t,f,2025-05-29 15:35:50.662949+00,2025-05-29 15:35:50.662949+00,,53,,,LOFI,"An old GVB bus garage transformed into a club: Lofi was created with the aim of breathing new life into Amsterdam's free-spirited (night) culture.  From warehouse raves to intimate community gatherings, we invite you to come and dance at our multidisciplinary venue. Immerse yourself into the concrete oasis and explore our in- and outdoor areas.",1000,f,,f,,,,,f,,0,0,,
41,t,f,2025-05-29 16:09:36.981925+00,2025-05-29 16:09:36.981925+00,,54,,,Shelter,"Across the IJ river, at a stone’s throw from its historic city center, lies Shelter, a new Amsterdam haven for quality dance music.   Built around the idea of creating a home away from home for veteran clubbers and enthusiastic newcomers alike, Shelter Amsterdam provides a diverse clubbing experience in the Dutch capital - with design, experience and sound quality continually in mind.   Next to its musical cornerstones of distinct House and Techno, Shelter’s programming is set on curating sounds from the vanguard of dance music, showcasing electronica from the defining outreaches of the industry.   Shelter can be found below Overhoeksplein in the most Southern tip of Amsterdam-Noord, easily reachable by the Buiksloterweg ferry, leaving 24/7 behind Central Station.",400,f,,f,,,,,f,,0,0,,
42,t,f,2025-05-29 17:03:44.295232+00,2025-05-29 17:03:44.295233+00,,55,,,Verknipt,"Verknipt is an event organization known for its wild techno events for over a decade! As of 2022, Verknipt focuses on (hard) techno, industrial techno and other rave music, with multiple events throughout the year at various locations, booking well known artists and introducing our visitors to new ones! Together with a sick lasershow and crazy visuals: we have te perfect mix to get you to rave! With roughly 102.000 visitors a year, we have greatly expanded our Verknipt community. Do you also live to rave?",2500,f,,f,,,,,f,,4000,1,"Funktion-One PA System
Pioneer CDJ-3000 (4x)
Pioneer DJM-V10 Mixer
Technics SL-1210MK7 Turntables (2x)
RM-07 Booth Monitors
LED Wall and Laser Rig
Strobe Lights and Smoke Effects
Full Visuals by Verknipt",23:00 – 06:00
43,t,f,2025-05-29 17:56:04.60868+00,2025-05-29 17:56:04.60868+00,,56,,,Awakenings,"Reading the lineup for Awakenings, the long-running Dutch festival, is a bit like scouring an A-to-Z list of who's making it happen in techno right now. Of course, you've got the big names who dominate events on this scale. But this year the promoters are also bringing a deeper element to their sprawling event at Spaarnwoude. From the old school to the new , from Berghain torchbearers to peddlers of a beat all their own.  Awakenings almost certainly has something that'll scratch your itch.",2500,f,,f,,,,,f,,0,0,,
44,t,f,2025-06-06 16:48:17.655691+00,2025-06-06 16:48:17.655692+00,,57,12,Amsterdam,Amsterdam Dance Event,"The ADE is the biggest international club festival in the world for the whole spectrum of electronic sub-genres with 300 special events and 2,000 DJ’s over five days in 75 clubs and venues around the city. The festival features the very biggest DJ and artist names on the planet, as well as a selection of the best upcoming talent making Amsterdam one of the best and most inspiring clubbing cities in the world. Each year, the ADE attracts 300,000 festival visitors, including 60,000 tourists.",2500,f,,f,,,,,f,,0,0,,
46,t,f,2025-06-09 10:37:32.308612+00,2025-06-09 10:37:32.308613+00,,59,13,Beirut,Rooney Nasr,"Born and raised in Lebanon, Roni ""Rooney"" Nasr is a 23-year-old DJ and Producer bringing a fresh, obscure and groovy proposal to the national and international scene. Never afraid to go too deep, his emotive musical selections are his own therapy, having his first contact with electronic music at a young age, Rooney's picks are carefully selected to alter the listener's state of mind into something beyond consciousness.",400,f,,f,,,,,f,,0,0,,
47,t,f,2025-06-09 11:28:42.455526+00,2025-06-09 11:28:42.455527+00,,60,,"Elementenstraat 25, 1014 AR, Amsterdam",Warehouse Elementenstraat,"Warehouse Elementenstraat is one of Amsterdam’s most iconic underground event spaces, originally hosting the first Multigroove parties in the 1990s. Revived in the 2010s, it now operates as a full-scale industrial venue, regularly hosting cutting-edge techno events, audiovisual installations and ADE showcases. With its raw atmosphere and unmatched acoustics, it remains a central hub for global dance culture.",1000,f,,f,,L-Acoustics K2 Line Array,Allen & Heath Xone:96 or Pioneer DJM-V10,Varies by room (Main Hall: ~20m x 12m),t,,3000,3,"Full sound rig, booth monitoring, lighting, LED visuals, rigging and basic backline upon request.",Typically 22:00–07:00 (varies by event)
