Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,DateTimeStart,DateTimeEnd,EventType,PrimaryGenre,Description,CoverImageURL,TicketLink,AmountOfStages,AmountOfArtists,AdditionalInformation,PromotionalImagesURLs,PASystem,Turntable,CDJ,Mixer,Monitor,IsVisualsRequired,IsCancelled,EventId
1,t,f,2024-11-19 13:04:40.619+00,2024-11-19 13:04:40.619+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,a,,a,4,6,,{},a,a,a,a,a,f,f,3
2,t,f,2024-11-20 13:13:49.048+00,2024-11-20 13:13:49.048+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 4,Genre 5,a,,a,2,2,,{},a,a,a,a,a,f,f,4
3,t,f,2024-11-25 10:57:36.591+00,2024-11-25 10:57:36.591+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,Event Description,,Ticket Link,4,6,,{},Test,Test,Test,Test,Test,f,f,5
4,t,f,2024-11-25 11:09:02.211+00,2024-11-25 11:09:02.211+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,asdasdsad,,asdasd,2,2,,{},asdasd,asdasd,asdasd,sadasd,asdsad,f,f,6
5,t,f,2024-11-27 07:50:41.071+00,2024-11-27 07:50:41.071+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Drum & Bass,a,,a,2,6,,{},a,a,a,a,a,f,f,7
6,t,f,2024-11-27 11:14:27.058+00,2024-11-27 11:14:27.058+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Firstech demo,,asd,2,2,,{},asd,asd,asd,asd,asd,f,f,8
7,t,f,2024-11-28 15:31:20.222+00,2024-11-28 15:31:20.222+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,House,Second Electronic Year end Festival,,N/A,2,2,,{},Bose,JBL,N/A,N/A,3 JBL Monitors,f,f,9
8,t,f,2024-12-02 11:41:31.883+00,2024-12-02 11:41:31.883+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Description of the event,,Ticket Link,3,5,,{},Test,Test,Test,Test,Test,f,f,10
9,t,f,2024-12-02 11:45:46.904+00,2024-12-02 11:45:46.904+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Description of the event,,Ticket Link,3,4,,{},Test,Test,Test,Test,Test,f,f,11
10,t,f,2024-12-02 12:20:31.033+00,2024-12-02 12:20:31.034+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 6,Genre 6,a,,a,2,6,Whatever ,{},a,a,a,aa,a,f,f,14
11,t,f,2024-12-03 10:25:14.874+00,2024-12-03 10:25:14.874+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,Internal Demo Description,,N/A,2,2,Internal Demo Info,{},N/A,N/A,N/A,N/A,N/A,f,f,15
12,t,f,2024-12-03 14:00:34.603+00,2024-12-03 14:00:34.603+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Type 5,Genre 5,a,,a,2,1,Whatever,{},e,e,e,e,w,f,f,16
13,t,f,2024-12-04 08:15:40.843+00,2024-12-04 08:15:40.843+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,Year end function for the First Digital Comapny,,N/A,1,6,Please bring raincoat,{},Yealink MSpeaker,Hollow Turntable,Numark Mixtrack,1Pc Professional Audio Mixer,Microlab B56,f,f,17
14,t,f,2024-12-04 09:43:37.366+00,2024-12-04 09:43:37.366+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Drum & Bass,This event will be good,,N/A,4,8,Please bring a raincoat and sunscreen,{},PA Systems: 3,Turntables: 2,CDJs: 4,Mixers: 6,Monitors: 2,f,f,18
15,t,f,2024-12-04 10:34:52.678+00,2024-12-04 10:34:52.678+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,Office year end party,,N/A,1,5,,{},Speakers,Turntables,CDJ's,Mixers,Monitors,f,f,19
16,t,f,2024-12-06 10:57:59.995+00,2024-12-06 10:57:59.995+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Festival,Techno,a,,a,1,5,Heyyy!!!,{},a,a,a,a,a,f,f,20
17,t,f,2024-12-27 10:15:20.955+00,2024-12-27 10:15:20.955+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,Concert,Drum & Bass,tttttt,,htpp:..ss,1,1,3333,{},3,5,8,2,8,f,f,24
