Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,ArtistId,StageName,SpotifyUrl,Biography,CityOfOrigin,CountryOfOrigin,CurrentLocation,ExperienceLevel,YearsOfExperience,HasRecordLabel,RecordLabelId,HasAgent,AgentId,HasManager,ManagerId,IsResidentDJ,ResidentLocation,HourlyRate,SelectedCountries,ExtraInformation,CurrencyId,HourlyFeeRange,EquipmentUsed,EquipmentRequired,TechnicalRider,Rider,OtherRequirements,ManagementAgent
71,t,f,2025-05-27 12:12:11.238906+00,2025-05-27 12:12:11.238908+00,,104,The Enveloper,,"From 2017, The Enveloper has been exclusively producing Techno creating dark and rousing sounds that sparked his fascination in the first place.
The Enveloper is one of the emerging artists of the new generation of techno musicians, consistently delivering high-quality productions. Since 2017 he has been exclusively producing techno, creating dark and rousing sounds that ignited his fascination with the genre.

His tracks have been released on top labels such as IAMT, Orange Recordings, Reload Records and Animarum, gaining international recognition from established figures in the techno scene, including The Yellowheads, Spartaque and many others. As a result, his tracks have found their way into the best clubs and biggest festivals worldwide.

The DJ sets and music productions by The Enveloper are characterized by their energetic and captivating nature. His tracks regularly chart in the top positions of the techno charts and receive support from around the world.",Berlin,328,Berlin,,3,f,,f,Florian Henrich,t,Florian Henrich,t,SYNDEN.,,,,0,,,,,,,
72,t,f,2025-05-27 17:07:33.204194+00,2025-05-27 17:07:33.204195+00,,105,Rooney Nasr,,"Rooney Nasr is a 21‑year‑old Lebanese DJ/producer whose deep, groovy sets have racked up 500 K+ Spotify streams. Founder of Pitchfork Beirut, co‑owner of EKSTASIS and Bionic Room, and manager of the underground club Projekt, he’s a key tastemaker in Beirut’s electronic scene.
",Lebanon,328,Berlin,,5,f,,f,,f,,f,,,,,2,2500,"3 × Pioneer CDJ‑3000 (USB/Link)
Pioneer DJM‑900 NXS2 mixer
2 × Technics SL‑1210 MK2
Allen & Heath Xone K2 MIDI controller
Sennheiser HD‑25 headphones","Minimum: 3 × Pioneer CDJ‑2000 NXS2 or CDJ‑3000 (latest firmware, linked)
1 × Pioneer DJM‑900 NXS2 mixer (no substitutes)
2 × 12‑inch booth monitors (independent volume) positioned ear‑height
Stable DJ table, 100–110 cm height, vibration‑free
2 × IEC power sockets (230 V) behind mixer","FOH PA ≥ 20 kW line‑array or well‑tuned club system; FLAT response ±3 dB
Booth monitors fed from mixer booth‑out
Stage lighting to avoid direct glare on CDJ screens
Minimum 45 min sound check window
FOH engineer present during set","Flights: 1 × economy upgradeable to business if >4 h

Ground: airport pick‑up + return

Hotel: 4‑star min, late checkout 14:00, non‑smoking king bed

Dressing room with secure Wi‑Fi, mirror, towels
Refreshments: still & sparkling water, fresh orange juice, coconut water, assorted fruit, mixed nuts, energy bars, espresso machine or quality coffee
Drinks on stage: 6 × 500 ml water, 2 × coconut water, 1 × premium tequila (Patrón, Don Julio) + fresh lime
Meal: healthy hot meal or €40 buy‑out
Guest list: 5 names","Access to booth 30 min pre‑set for USB prep
Local SIM or hotspot on request",Self Managed
74,t,f,2025-05-27 18:14:16.624144+00,2025-05-27 18:14:16.624144+00,,107,Joyhauser,,"This promising duo has already developed a notorious reputation all over Belgium. Joyhauser holds up an impressive arsenal of hard-hitting beats accompanied by captivating and melancholic strings.
This promising duo has already developed a notorious reputation all over Belgium. Joyhauser holds up an impressive arsenal of hard-hitting beats accompanied by captivating and melancholic strings. Raw techno mixed with epic harmonies are the main ingredients of their signature sound.

They played and were praised at just about every single club in Belgium, they performed at several big festivals such as Extrema Outdoor, Tomorrowland and Pukkelpop. They are swiftly conquering other countries as well with visits to Spain, France and Holland. As a freshly introduced member of the Labyrinth family you can be sure that their thriumphal march won’t stop here.
",Bilzen,318,Bilzen,,10,f,,f,,f,,f,,,,,0,,,,,,,
75,t,f,2025-05-27 18:57:05.316103+00,2025-05-27 18:57:05.316103+00,,108,YouSawLaurent,,"Masked in mystery and driven by power, YouSawLaurent is the raw force storming through the European hard techno scene. Known for his explosive basslines and relentless energy behind the decks, the German-born artist has earned a reputation for sonic intensity and hypnotic precision, earning him the title “Kickmaster” in Turkey before he was even old enough to vote.

Performing behind a mask until the final climactic drop, his identity is revealed only at the peak of each set, when the message lands: You saw Laurent. More than a DJ, he is a live ritual. A performer who turns every stage into a battlefield of rhythm, pressure and release.

With international sets from Berlin to Krakow, Istanbul to Basel, and appearances at venues like Club Ost, Matrix Bochum and Gotec Club Karlsruhe, his name is fast becoming a symbol of rising power in Europe’s underground.

This is not performance. This is presence.
This is YouSawLaurent.",Berlin,328,Berlin,,2,f,,f,,t,Nicole de Beer x Gigevate,f,,,,,2,700,"3 × Pioneer CDJ-3000
- 1 × Pioneer DJM-A9 or DJM-900NXS2 mixer
- Standard booth monitors (e.g. 2 × Pioneer VM series)
- Optional: Technics turntables (if vinyl set)","- Quality PA system (line array, mains + subs) with full sound support
- Full lighting rig & stage visuals (if indicated)
- Booth setup with 3 CDJ + mixer + power
- 2 × good booth monitors","Clean, dry, secure booth area
- Cable patching (XLR, power, breakout) from DJ setup to FOH
- Backup media players (if possible)
- Soundcheck minimum 2 hours prior to doors","- 5 × bottled water (room temp)
- Towels
- Healthy snacks (fruit, nuts)
- Towels & hand wipes
- Hospitality (backstage lounge, seating)","- Quiet / private dressing room
- Security escort if needed
- Transport from airport to hotel to venue
- Hotel (4-5 star) for night(s) stay",Nicole de Beer x Gigevate
89,t,f,2025-10-17 10:47:50.73794+00,2025-10-17 10:47:50.73794+00,,122,SEMPLE,,"SEMPLE is a Dutch techno DJ and producer known for his energetic and driving sound that has captivated audiences both locally and internationally. With a passion for raw, high-energy beats, his music blends deep, pulsating basslines with intricate rhythms, creating an immersive experience on the dancefloor. Drawing inspiration from a wide range of techno subgenres, SEMPLE’s productions are marked by their dynamic energy and relentless pace, making him a standout figure in the electronic music scene. His electrifying performances and unique sound have earned him a loyal following and a place at prominent clubs and festivals across The Netherlands",Amsterdam,348,Amsterdam,,5,f,,f,,f,,f,,,,,2,200,"- 2x Pioneer CDJ-2000NXS2 or CDJ-3000
- 1x Pioneer DJM-900NXS or DJM-V10 mixer or Allen & Heath Xone 96 mixer","- 2x Pioneer CDJ-2000NXS2 or CDJ-3000
- 1x Pioneer DJM-900NXS or DJM-V10 mixer or Allen & Heath Xone 96 mixer","- CDJ'S must be linked via Ethernet (LAN) for Pro Dj link functionality
- 2x Booth monitor speakers (left and right)","- 1 towel
- 2 Bottles of water
- 2 cans of red bull
- 1 bottle of Cola Zero
- Secure storage for personal belongings
- Minimum 2x guest list spots with backstage acces","- All gear must be properly connected and functional before arrival
- Dj booth must provide enough space for movement and performance",
100,t,f,2025-11-03 12:59:32.02528+00,2025-11-03 12:59:32.02528+00,,133,SPICE UP!,,"Spice Up Official delivers electrifying sets and productions that bridge underground club energy with forward-thinking electronic soundscapes. With a flair for weaving groove, texture and high-impact moments, they command both dancefloor intensity and sonic nuance. Always evolving, Spice Up Official brings fresh music, sharp performance and a smart aesthetic to the stage.",Leeuwarden,348,Leeuwarden,,3,f,,f,,f,,f,,,,,0,,,,,,,
90,t,f,2025-10-17 14:44:17.649932+00,2025-10-17 14:44:17.649932+00,,123,Alex Sharp,,"Alex Sharp, a dynamic force in the electronic music scene, is a Romanian-born DJ and producer making waves in Amsterdam. Known for his distinctive sound that blends smoothly crafted melodies, efficient rhythms, minimalistic elements, and deep, spacey bass, Sharp's music is a soulful journey perfect for any dance floor.",Amsterdam,348,Amsterdam,,10,f,,f,,f,,t,UNDERGRND,,,,2,300,"	•	3 × Pioneer CDJ-3000 Nexus
	•	Pioneer DJM-A9 or DJM-V10 mixer
	•	Monitors
","Same as above (3 × CDJ-3000 Nexus, Pioneer DJM-A9 or V10, and monitors)
	•	Quality PA system and booth setup
","	•	3 × Pioneer CDJ-3000 Nexus
	•	1 × Pioneer DJM-A9 or DJM-V10
	•	Monitors
","	•	4 × 0.5 L bottles of sparkling water
	•	2 × Red Bull during performance","	•	Ground transport (to/from airport and club)
	•	Flights for non-local bookings",
95,t,f,2025-10-30 20:30:04.504678+00,2025-10-30 20:30:04.504678+00,,128,Lucyd,,"Bulgarian-born and Poland-based DJ and producer Lucyd is co-owner of the Calość label and known for a sound that moves between groovy and hard-groovy techno. Her background in sound design and audio engineering gives each set a precise yet energetic edge. Supported by HATE, Techno Germany, and MOTZ, Lucyd has played across Europe at renowned venues including About Blank, OXI, Kit Kat, Renate, Anomalie, and ADE. Her performances blend texture, movement, and bass for a truly driven club experience. ",Poland,351,Poland,,4,t,Co-owner of Calość Label,t,MIDI Agency (Berlin),f,,t,Calość Label / Events,,,,2,250,"Pioneer CDJ-3000 (2–3x)
Pioneer DJM-900NXS2 Mixer
Technics SL-1210MK7 Turntables (optional)
USB and Rekordbox setup
In-ear monitoring optional","2x Pioneer CDJ-3000 (minimum 2000NXS2 accepted)
1x Pioneer DJM-900NXS2 or DJM-V10
2x booth monitors (12” minimum)
Stable table or booth setup
Stage lighting suitable for techno performance","Professional DJ setup (minimum 2x CDJ + 1x DJM-900NXS2).
High-quality booth monitors.
XLR connections preferred.
Access to DJ booth 30 minutes before set.
Water (still), towel, and clean booth space.
No drinks or cables near equipment.","2x bottles still water
2x drink vouchers or 1x preferred bottle of spirit (vodka or gin + mixers)
1x meal or backstage catering (vegetarian)
Backstage access for 1 guest / agent representative","Secure artist transport or reimbursement for travel
Hotel or accommodation (minimum 3-star) for bookings outside Poland
Visuals and lighting control by venue tech preferred",MIDI Agency (Berlin) Agent: Yiva Lee 📧 yiva@midiagency.com  📞 +49 (0)162 374 0734 / +49 (0)1525 735 6660 🌍 midiagency.com
96,t,f,2025-10-30 20:57:01.650072+00,2025-10-30 20:57:01.650073+00,,129,Anastasia Zems,,"Anastasia Zems is a Lisbon and Berlin based DJ and producer blending dreamy trance, progressive house and experimental electronica. Her sets balance raw, poetic feeling with hypnotic late-night energy that transforms clubs into dreamscapes.
",Berlin,328,Berlin,,3,f,,t,MIDI Agency (Berlin),f,,t,"Guest Resident at Lux Fragil (Lisbon) and Operator (Rotterdam, touring December 2025)",,,,2,300,"3× Pioneer CDJ-3000 (or 2000NXS2 min.)
1× Pioneer DJM-V10 / DJM-900NXS2 Mixer
USB + Rekordbox setup
Optional Ableton Push 2 for live segments","3× Pioneer CDJ-3000 (2000NXS2 acceptable)
1× DJM-V10 or DJM-900NXS2 Mixer
2× booth monitors (12″ minimum)
VOID, L-Acoustics or Funktion-One sound system
Clean, stable booth with power protection","Professional DJ setup as listed above
Sound check 30 min before set
XLR connections preferred
Water (still) and towel in booth
Lighting and fog acceptable if tech supervised","2× still + 1× sparkling water
1× light meal or vegetarian catering
2× drink vouchers or 1× bottle white wine (+mixers)
Backstage for artist + 1 guest","Accommodation (3-star min.) for non-local shows
Airport transfer or reimbursement
30-min sound check preferred
Respectful crowd and stage management",MIDI Agency (Berlin) Agent — Yiva Lee 📧 yiva@midiagency.com  📞 +49 (0) 162 374 0734 / +49 (0) 1525 735 6660 🌍 midiagency.com
97,t,f,2025-11-03 11:29:17.298294+00,2025-11-03 11:29:17.298295+00,,130,Sammy MØ,,"Dutch roots. Techno soul. SAMMY MØ is a rising Dutch DJ and producer whose sets blend soulful grooves with raw techno energy. Known for her driving selections, infectious stage presence, and crowd connection, she’s been steadily carving her name across Europe’s underground scene. Currently exploring her evolution as a producer, SAMMY MØ brings a blend of deep rhythm and high-voltage sound to every performance.

Techno, Melodic Techno, Peak Time, Underground, Soulful Techno",Netherlands,328,Düsseldorf,,4,f,,f,,f,,f,,,,,2,250,"- 2x Pioneer CDJ-3000
- 1x Pioneer DJM-900NXS2 Mixer
- 1x Technics SL-1210 Turntable (optional)
- USB drive with Rekordbox format
- Headphones: Sennheiser HD25","- Pioneer CDJ-3000 (x2 minimum)
- Pioneer DJM-900NXS2 Mixer
- Funktion-One or equivalent sound system
- Booth monitor speakers
- 2x Balanced XLR output lines
- Proper booth ventilation and lighting","- 2x CDJ-3000 and 1x DJM-900NXS2 setup pre-calibrated
- Booth monitor on independent channel
- DI box available for live inputs
- Sound technician present during setup
- 2x Power outlets at booth height
- Setup check at least 30 minutes before performance","- 4x Bottled still water
- 2x Energy drinks or coconut water
- Fresh fruit platter or light snacks
- 2x Towels
- 2x Guest passes
- Secure changing or resting area","SAMMY MØ brings high-energy techno sets blending soulful grooves with driving rhythm. 
Performance duration: 90 minutes – 2 hours.
Based in Amsterdam, available for national and EU bookings.
Actively promotes event on Instagram & SoundCloud.",
